Pais,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
Poland,112325,254949,407894,625991,771201,922000,779666,583525,451087,313442,117481,79889
Portugal,319030,407007,731968,795870,1015081,1089900,1123745,1014945,738367,564299,405301,282997
Puerto Rico,719807,814776,939669,1002826,1015144,960116,973759,962728,929790,831929,742655,683417
Qatar,675655,780294,969206,1085219,1165910,1136350,1052359,1056801,962998,836386,711363,605455
Republic of Moldova,180224,312846,485462,681958,807754,824071,907485,810843,552776,395572,206975,120191
Republic of North Macedonia,261543,455673,621803,781494,946767,1020976,1038024,955382,682745,412553,288480,229389
Republic of the Congo,756343,851395,789624,805873,705708,666416,708712,685441,721316,722268,746864,745403
Reunion,1097048,1035985,898914,632251,663523,561303,612524,706331,899743,1002375,1092838,1065119
Romania,198160,347563,532257,698610,848898,898590,951142,809919,588201,387393,233429,142836
Russian Federation,74247,187528,401682,660773,808585,880154,787878,589787,371646,201227,82923,49976
Rwanda,778361,805579,835764,732739,706706,740759,744066,781282,775064,822350,789986,720900
Saint Helena,1000840,941323,767250,620925,483290,462549,441541,546433,669684,874799,929110,969071
Saint Kitts and Nevis,731139,840050,960733,984408,1026842,916555,998370,955640,922572,833909,752998,700504
Saint Lucia,777206,861506,931409,992221,1018341,905968,948955,926126,955301,872636,806244,751191
Saint Pierre and Miquelon,186747,272535,544345,602643,884038,872095,775818,774855,584974,369903,211521,147284
Saint Vincent and the Grenadines,777531,870760,926461,965018,993602,894551,914360,900924,941203,874359,810032,753835
Saint-Barthelemy,710551,828839,950288,996328,1034478,922281,1005293,959766,913616,839544,740447,683269
Sao Tome and Principe,757435,832466,774876,808318,729788,658273,741354,752979,774870,736549,722502,686520
Saudi Arabia,709259,811161,1008759,1099618,1163369,1149173,1070481,1075152,981930,884245,756516,657777
Senegal,831290,905767,1052862,1105255,1087710,1028025,913817,764341,847282,857989,820484,752345
Serbia,224933,392454,563842,742445,905008,996900,977634,859079,651304,382074,248384,157612
